countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
BRB,Barbados,2021,25647.359375,2634.298583984375,0.6315798759460449,2.0025227069854736
BRN,Brunei Darussalam,2021,279431.59375,37563.66796875,0.24622255563735962,0.3728735148906708
BTN,Bhutan,2021,72469.9921875,10795.4912109375,0.2171960473060608,0.2564777433872223
BWA,Botswana,2021,180652.625,41096.70703125,0.3161938786506653,0.4562639594078064
CAF,Central African Republic,2021,45266.39453125,5952.189453125,0.2745763063430786,0.42278537154197693
CAN,Canada,2021,10147049.0,2064151.0,0.8258427381515503,0.972541332244873
CHE,Switzerland,2021,3608992.0,770974.375,0.8281682729721069,1.0575051307678223
CHL,Chile,2021,1868156.5,504465.4375,0.5007150769233704,0.625705897808075
CHN,China,2021,148589856.0,28653542.0,0.40990233421325684,0.6219286918640137
CIV,Côte d'Ivoire,2021,390001.125,167492.09375,0.28044530749320984,0.4346153438091278
CMR,Cameroon,2021,288860.78125,128488.5625,0.30147498846054077,0.35031858086586
COD,D.R. of the Congo,2021,235951.5625,102406.328125,0.31822437047958374,0.5160797238349915
COG,Congo,2021,297025.1875,36418.1640625,0.3295856714248657,0.3674054443836212
COL,Colombia,2021,2882305.0,837966.375,0.3362296223640442,0.3801162540912628
COM,Comoros,2021,16359.66796875,2895.248779296875,0.2781740427017212,0.447660893201828
CPV,Cabo Verde,2021,22812.703125,4233.982421875,0.3415124714374542,0.48461297154426575
CRI,Costa Rica,2021,401313.125,120385.2265625,0.33492323756217957,0.5396071076393127
CUW,Curaçao,2021,,3703.009765625,,0.7398291230201721
CYM,Cayman Islands,2021,20563.05078125,4543.04345703125,0.7028841376304626,1.3339133262634277
CYP,Cyprus,2021,227142.625,32400.568359375,0.43875136971473694,0.9374184608459473
CZE,Czechia,2021,2765371.0,470836.03125,0.43236592411994934,0.6179916262626648
DEU,Germany,2021,20509570.0,5043287.0,0.9203757643699646,0.8621951341629028
DJI,Djibouti,2021,23400.328125,6646.77685546875,0.330851674079895,0.5093663334846497
DMA,Dominica,2021,5246.40966796875,980.7449951171875,0.35459280014038086,0.5661682486534119
DNK,Denmark,2021,1909466.125,380996.625,0.7160641551017761,1.0718683004379272
DOM,Dominican Republic,2021,1202378.125,244760.796875,0.2671855688095093,0.3850429952144623
DZA,Algeria,2021,2659781.75,622585.875,0.2753576338291168,0.29912611842155457
ECU,Ecuador,2021,1414991.875,240372.859375,0.25942859053611755,0.44695189595222473
EGY,Egypt,2021,2932152.5,1792245.25,0.2653578817844391,0.23763830959796906
ESP,Spain,2021,13126397.0,2005026.75,0.4649924635887146,0.7287907600402832
EST,Estonia,2021,282763.1875,55144.55859375,0.42881470918655396,0.6746733784675598
ETH,Ethiopia,2021,779446.875,350425.375,0.31663545966148376,0.28325608372688293
FIN,Finland,2021,1786506.25,292107.03125,0.7352219820022583,1.00724458694458
FJI,Fiji,2021,31235.7734375,9718.033203125,0.282246857881546,0.44299405813217163
FRA,France,2021,20642360.0,3428344.5,0.640533447265625,0.8652670979499817
GAB,Gabon,2021,95827.078125,45881.0703125,0.32035031914711,0.4238112270832062
GBR,United Kingdom,2021,16572071.0,3328641.0,0.6073622107505798,0.9443262219429016
GEO,Georgia,2021,409189.75,76675.71875,0.17757940292358398,0.24583150446414948
GHA,Ghana,2021,564574.375,199613.78125,0.298328697681427,0.3983914256095886
GIN,Guinea,2021,75756.6015625,45835.22265625,0.33318695425987244,0.35488006472587585
GMB,Gambia,2021,16132.6279296875,7041.86767578125,0.3141978085041046,0.29096120595932007
GNB,Guinea-Bissau,2021,7217.20556640625,4642.349609375,0.2815552353858948,0.34056657552719116
GNQ,Equatorial Guinea,2021,119601.7421875,35296.953125,0.3562002182006836,0.346088707447052
